Course Absence Rate,PF,FIN,RE,AVG,LG
17.0,21,0,0,0,F
19.0,7,0,0,4,F
21.0,70,10,0,46,FX
24.0,83,40,0,66,C
21.0,100,33,0,73,C+
29.0,82,55,0,71,C+
5.0,80,45,0,66,C
26.0,82,10,0,53,D
0.0,100,95,0,98,A
24.0,7,0,0,4,F
10.0,100,65,0,86,B+
7.0,100,55,0,82,B
21.0,95,25,0,67,C
0.0,73,65,0,70,C+
0.0,92,28,0,66,C
0.0,100,74,0,90,A-
50.0,0,0,0,0,F
7.0,95,38,0,72,C+
7.0,100,33,0,73,C+
2.0,88,15,0,59,D+
10.0,93,53,0,77,B-
26.0,100,50,0,80,B
26.0,7,0,0,4,F
29.0,53,48,0,51,D
0.0,100,37,0,75,B-
5.0,75,30,0,57,D+
5.0,73,35,0,58,D+
14.0,92,8,0,58,D+
29.0,100,30,0,72,C+
21.0,100,48,0,79,B-
12.0,100,45,0,78,B-
14.0,100,53,0,81,B
26.0,58,10,40,51,D
7.0,67,0,0,40,FX
10.0,90,40,0,70,C+
36.0,0,0,0,0,F
